mode,load,0_densenet121-32,1_densenet169-32,2_inception_v3-4
mps-uncap,0.8,37.17379570007324,50.37208080291748,24.279832839965827
mps-uncap,0.9,35.891568660736084,48.57722520828247,24.418745040893544
mps-uncap,1.0,35.74042320251465,46.201066970825195,26.802594661712646
mps-uncap,0.5,37.60266780853271,47.00743436813354,25.520095825195316
mps-uncap,0.6,37.61064052581787,47.82992362976075,25.635764598846425
mps-uncap,0.7,37.38433361053467,50.43076515197754,23.830687999725345
mps-uncap,0.1,45.281672477722175,55.56488037109375,24.150323867797827
mps-uncap,0.2,36.342918872833245,46.23658657073978,23.36391210556029
mps-uncap,0.3,36.46944046020508,46.634674072265625,22.83096075057983
mps-uncap,0.4,36.60041570663451,45.48549413681031,25.23535013198853
