mode,load,0_densenet121-32,1_densenet169-32,2_inception_v3-4
mps-uncap,0.8,898.663659873472,670.7113885346969,181.8522085246232
mps-uncap,0.9,987.1005574733562,734.1571406660697,204.41296942577614
mps-uncap,1.0,987.3749845560683,761.8274365395371,207.05937327536685
mps-uncap,0.5,534.0346483071104,396.8272243717892,119.22666011439547
mps-uncap,0.6,666.7723540977748,488.8914162142543,138.54138130496932
mps-uncap,0.7,765.5076841951347,600.5231821166726,162.7977471512849
mps-uncap,0.1,102.21445586703763,75.89255836491029,22.6117891668891
mps-uncap,0.2,223.07017063507087,155.35968897385024,45.846916100344394
mps-uncap,0.3,322.20670359624694,263.15320534561295,67.20147419408342
mps-uncap,0.4,450.19154845690895,342.17250809726926,91.06070034262481
