mode,load,0_efficientnet_b5-8,1_efficientnet_b5-8,2_efficientnet_b5-8,3_efficientnet_b5-8
mig,0.1,32.34851634133353,31.47046268178181,34.19303334322162,16.14365793023171
mig,0.2,62.645296410795396,62.7590322623471,62.80642464535427,33.06777172917507
mig,0.3,98.37755569090214,94.55934441484963,94.25897200131048,41.10307774943064
mig,0.4,123.10070000698893,130.54856712151982,124.38639510768651,59.382256039561696
mig,0.5,158.1555634223443,154.98251819489943,157.8943238832313,80.49621237881075
mig,0.6,186.35505709221576,185.63914523445112,191.6309914562326,99.98585317831277
mig,0.7,203.77936731318425,223.89060100133722,212.5667719775577,109.79436943804842
mig,0.8,256.32053504746426,248.3301530558315,245.2633181132326,125.7515022958853
mig,0.9,287.4021727103126,270.115028908845,283.7226826986216,142.24413545625617
mig,1.0,288.0110252854452,288.30254447874916,288.3271508974142,146.24427137367954
