mode,load,0_densenet169-8,1_densenet169-8,2_densenet169-8,3_densenet169-8
mig,0.1,33.50257873535156,30.751943588256836,36.90052032470703,39.91341590881348
mig,0.2,35.35056114196777,49.20816421508789,33.36524963378906,97.35393524169922
mig,0.3,47.310829162597656,47.64533042907715,49.52502250671387,91.55797958374023
mig,0.4,76.05838775634766,83.8158130645752,67.74759292602539,125.67472457885742
mig,0.5,81.23970031738281,123.78954887390137,62.82782554626465,172.11008071899414
mig,0.6,109.02285575866699,108.86216163635254,141.9076919555664,306.06913566589355
mig,0.7,168.28060150146484,146.52609825134277,173.3238697052002,268.3372497558594
mig,0.8,254.12440299987793,162.91427612304688,285.01105308532715,298.7782955169678
mig,0.9,355.99231719970703,348.2801914215088,360.13126373291016,426.5320301055908
mig,1.0,669.4238185882568,1123.6217021942139,863.4397983551025,1533.125400543213
