mode,load,0_densenet121-32,1_efficientnet_b7-4,2_efficientnet_b7-8
mps-uncap,0.8,227.75697708129883,299.5293140411377,255.22828102111816
mps-uncap,0.9,444.22197341918945,425.2810478210449,721.4827537536621
mps-uncap,1.0,1611.3405227661133,792.1769618988037,2025.6094932556152
mps-uncap,0.5,106.28247261047363,80.39975166320801,93.95146369934082
mps-uncap,0.6,167.04440116882324,88.8833999633789,167.84286499023438
mps-uncap,0.7,153.25665473937988,152.9104709625244,145.20931243896484
mps-uncap,0.1,41.82767868041992,55.59182167053223,55.49502372741699
mps-uncap,0.2,43.86496543884277,44.773101806640625,64.47696685791016
mps-uncap,0.3,44.15607452392578,59.5240592956543,68.44615936279297
mps-uncap,0.4,116.33038520812988,71.65861129760742,111.76872253417969
