mode,load,0_densenet121-32,1_efficientnet_b7-4,2_efficientnet_b7-8
mps-uncap,0.8,87.44847774505615,104.72583770751953,117.34147071838382
mps-uncap,0.9,200.6885528564453,260.40196418762207,462.5222682952881
mps-uncap,1.0,1361.9008064270017,546.4969158172606,1681.7587375640871
mps-uncap,0.5,40.317344665527344,38.242602348327644,44.05226707458496
mps-uncap,0.6,47.86360263824463,47.95260429382325,57.99021720886231
mps-uncap,0.7,58.81524085998535,66.52498245239258,69.03595924377447
mps-uncap,0.1,21.521806716918945,33.24122428894044,32.73496627807617
mps-uncap,0.2,23.75202178955078,31.55660629272461,33.10072422027588
mps-uncap,0.3,27.104091644287106,33.59847068786621,34.63108539581299
mps-uncap,0.4,34.4616174697876,34.746408462524414,41.11766815185546
