mode,load,0_densenet121-32,1_efficientnet_b7-4,2_efficientnet_b7-8
mps-uncap,0.8,927.7266051915861,80.36747851866158,181.7422351795203
mps-uncap,0.9,1041.4405838636628,93.7146879031886,204.2296342116345
mps-uncap,1.0,1159.500902600684,108.2084047784621,216.02353646465306
mps-uncap,0.5,585.3772863817787,53.721886720834796,111.91768014732767
mps-uncap,0.6,670.4627288788856,59.039812856360925,135.4209152138132
mps-uncap,0.7,793.9268834499469,72.58278330070213,154.1114405448214
mps-uncap,0.1,115.69529617453045,10.962148894768223,20.739577516010357
mps-uncap,0.2,232.85136899234473,19.446366459429658,41.151493708163585
mps-uncap,0.3,329.8082673528991,28.350044384802576,65.71585886611628
mps-uncap,0.4,494.16683222446426,40.39119187128481,86.90406029762761
