mode,load,0_densenet121-32,1_efficientnet_b7-4,2_efficientnet_b7-8
mps-uncap,0.8,201.60341262817383,262.56299018859863,221.33684158325195
mps-uncap,0.9,416.7475700378418,383.19921493530273,683.5358142852783
mps-uncap,1.0,1583.005666732788,767.1248912811279,1986.4349365234375
mps-uncap,0.5,85.45732498168945,53.60579490661621,71.71750068664551
mps-uncap,0.6,143.507719039917,68.88866424560547,147.25589752197266
mps-uncap,0.7,129.64320182800293,127.40707397460938,112.14184761047363
mps-uncap,0.1,20.975112915039062,26.09539031982422,30.57408332824707
mps-uncap,0.2,24.865150451660156,29.484033584594727,45.304059982299805
mps-uncap,0.3,26.84497833251953,41.80335998535156,53.18331718444824
mps-uncap,0.4,92.52214431762695,43.122291564941406,80.20496368408203
