mode,load,0_vgg11-16,1_alexnet-4,2_efficientnet_b6-2
mps-uncap,0.6,14.656288623809752,11.320533752441406,111.33469820022584
mig,0.6,61.2692689895631,9.58118915557861,78.98819684982298
mps-uncap,0.7,17.298631668090845,18.878288269042923,207.63325691223147
mig,0.7,96.77367925643922,11.035771369934082,95.08036851882933
mps-uncap,0.8,21.367409229278564,33.10105323791487,849.8005008697509
mig,0.8,153.5398530960083,17.89445400238037,123.91832351684569
mps-uncap,0.9,23.70981693267827,62.79378652572615,10822.183158397675
mig,0.9,235.49423694610607,106.68543577194208,270.63344001770014
mps-uncap,1.0,26.97625160217286,101.56175136566154,27011.64056777954
mig,1.0,1419.0318012237547,1054.3058228492737,563.2300472259521
mps-uncap,1.1,31.15246772766113,456.67706966400146,30452.4373626709
mig,1.1,8273.575401306152,4509.728169441223,6025.131702423096
mps-uncap,1.2,37.992994785308824,10131.862177848816,38179.60165977477
mig,1.2,13677.590363025665,10921.581745147705,15314.68186378479
mps-uncap,1.3,45.86758613586425,23587.976932525635,45060.465512275696
mig,1.3,18713.16023588181,18284.73525285721,20963.34623813629
