mode,load,0_vgg11-16,1_alexnet-4,2_efficientnet_b6-2
mps-uncap,0.6,0.012636184692382812,0.01049041748046875,0.014543533325195312
mig,0.6,0.012636184692382812,0.010967254638671875,0.014543533325195312
mps-uncap,0.7,0.011682510375976562,0.010728836059570312,0.014543533325195312
mig,0.7,0.013113021850585938,0.010728836059570312,0.014543533325195312
mps-uncap,0.8,0.011205673217773438,0.01049041748046875,0.014543533325195312
mig,0.8,0.012636184692382812,0.011205673217773438,0.014781951904296875
mps-uncap,0.9,0.012874603271484375,0.010728836059570312,0.01621246337890625
mig,0.9,0.013113021850585938,0.011444091796875,0.014781951904296875
mps-uncap,1.0,0.010967254638671875,0.010967254638671875,0.01621246337890625
mig,1.0,0.0133514404296875,0.010728836059570312,0.015020370483398438
mps-uncap,1.1,0.011205673217773438,0.010728836059570312,0.023126602172851562
mig,1.1,0.013828277587890625,0.01239776611328125,0.01811981201171875
mps-uncap,1.2,0.011444091796875,0.013113021850585938,0.024080276489257812
mig,1.2,0.015974044799804688,0.013589859008789062,0.018596649169921875
mps-uncap,1.3,0.011205673217773438,0.013589859008789062,0.041961669921875
mig,1.3,0.012636184692382812,0.012636184692382812,0.019788742065429688
