mode,load,0_vgg11-16,1_alexnet-4,2_efficientnet_b6-2
mps-uncap,0.6,739.9057446821612,1307.417540665019,71.02040712615555
mig,0.6,739.9591318833213,1340.057047810983,69.56991931575335
mps-uncap,0.7,847.0889474406606,1532.0554871863276,77.87097268718765
mig,0.7,852.8688141827448,1524.7432031750548,79.0797588392899
mps-uncap,0.8,957.4692044105759,1723.4088334254068,91.73290480070534
mig,0.8,955.7555865376428,1746.9556176683604,89.72086534367014
mps-uncap,0.9,1083.0267637996508,1984.8060386844502,90.98625970334335
mig,0.9,1094.669408686368,1964.748172773716,103.49373670398019
mps-uncap,1.0,1233.3445806376174,2193.830867625633,83.0178331249458
mig,1.0,1199.644932459669,2186.186881251877,113.96730686212439
mps-uncap,1.1,1325.8869450282,2405.2458225116275,83.15480509893314
mig,1.1,1226.0897036905214,2263.6887157945075,116.67433397657287
mps-uncap,1.2,1424.5612389070707,2315.9494635494957,79.56758882381163
mig,1.2,1227.9792606643762,2262.3463408487664,115.89990531881173
mps-uncap,1.3,1585.791742335615,2067.402320735758,74.20124767161491
mig,1.3,1220.4647443638353,2251.700973374123,113.73232788348322
