mode,load,0_vgg11-16,1_alexnet-4,2_efficientnet_b6-2
mps-uncap,0.6,0.01811981201171875,0.026702880859375,16.3801908493042
mig,0.6,5.349636077880859,0.7481575012207031,6.324529647827148
mps-uncap,0.7,0.01811981201171875,0.5035400390625,27.604103088378906
mig,0.7,10.238051414489746,1.1966228485107422,12.439131736755371
mps-uncap,0.8,0.018358230590820312,1.1456012725830078,151.9162654876709
mig,0.8,14.873504638671875,1.9118785858154297,16.03376865386963
mps-uncap,0.9,0.023484230041503906,4.18400764465332,5430.405139923096
mig,0.9,36.989688873291016,3.9403438568115234,51.75638198852539
mps-uncap,1.0,1.4352798461914062,8.075237274169922,14200.712203979492
mig,1.0,236.9384765625,19.030451774597168,163.16580772399902
mps-uncap,1.1,2.6710033416748047,126.30867958068848,15050.406455993652
mig,1.1,3578.2382488250732,1546.950101852417,3055.7548999786377
mps-uncap,1.2,3.8604736328125,4670.0475215911865,18924.352645874023
mig,1.2,7234.860181808472,4638.839960098267,8367.256879806519
mps-uncap,1.3,5.569696426391602,11139.089465141296,22997.047543525696
mig,1.3,9001.08778476715,8229.717493057251,10629.964232444763
