mode,load,0_vgg11-16,1_alexnet-4,2_efficientnet_b6-2
mps-uncap,0.6,12.51673698425293,7.521867752075195,42.68145561218262
mig,0.6,22.682905197143555,16.04461669921875,28.445959091186523
mps-uncap,0.7,12.545347213745117,9.706497192382812,41.91780090332031
mig,0.7,24.03545379638672,15.096187591552734,23.798704147338867
mps-uncap,0.8,14.533758163452148,12.415885925292969,41.16201400756836
mig,0.8,21.263837814331055,15.456676483154297,24.445533752441406
mps-uncap,0.9,14.45627212524414,10.14089584350586,42.932748794555664
mig,0.9,21.897077560424805,14.82534408569336,30.26270866394043
mps-uncap,1.0,15.146732330322266,11.03353500366211,48.50316047668457
mig,1.0,25.797367095947266,16.004562377929688,30.055761337280273
mps-uncap,1.1,14.201879501342773,12.134552001953125,43.69091987609863
mig,1.1,27.68254280090332,14.740943908691406,24.696826934814453
mps-uncap,1.2,11.325836181640625,8.562803268432617,42.63448715209961
mig,1.2,22.86815643310547,10.744810104370117,24.49512481689453
mps-uncap,1.3,11.327505111694336,18.212318420410156,43.66755485534668
mig,1.3,21.570444107055664,15.725851058959961,31.206607818603516
