mode,load,0_vgg11-16,1_alexnet-4,2_efficientnet_b6-2
mps-uncap,0.6,6.029367446899414,0.7431507110595703,17.238378524780273
mig,0.6,12.365102767944336,1.6257762908935547,16.846895217895508
mps-uncap,0.7,6.021738052368164,0.762939453125,17.497777938842773
mig,0.7,12.393474578857422,1.6322135925292969,17.09890365600586
mps-uncap,0.8,6.111621856689453,0.7607936859130859,17.09437370300293
mig,0.8,12.407779693603516,1.6322135925292969,16.718149185180664
mps-uncap,0.9,6.204366683959961,0.7581710815429688,17.361879348754883
mig,0.9,12.396574020385742,1.6369819641113281,17.301082611083984
mps-uncap,1.0,6.309032440185547,0.7684230804443359,25.520801544189453
mig,1.0,12.477636337280273,1.651763916015625,16.99066162109375
mps-uncap,1.1,6.528377532958984,0.7884502410888672,23.405075073242188
mig,1.1,12.54582405090332,1.680135726928711,17.313718795776367
mps-uncap,1.2,6.551027297973633,0.8296966552734375,22.46999740600586
mig,1.2,12.656927108764648,1.688241958618164,17.444849014282227
mps-uncap,1.3,6.538867950439453,1.0428428649902344,25.739192962646484
mig,1.3,12.61591911315918,1.6858577728271484,18.355369567871094
