mode,load,0_vgg11-16,1_alexnet-4,2_efficientnet_b6-2
mps-uncap,0.6,25.092363357543945,41.411638259887695,179.57663536071777
mig,0.6,89.54071998596191,24.908781051635742,123.63362312316895
mps-uncap,0.7,30.449390411376953,38.16342353820801,347.41806983947754
mig,0.7,131.69026374816895,21.96502685546875,162.4460220336914
mps-uncap,0.8,45.41277885437012,65.90843200683594,924.9889850616455
mig,0.8,204.37884330749512,45.41611671447754,189.21375274658203
mps-uncap,0.9,45.44210433959961,99.31588172912598,10930.139303207397
mig,0.9,298.4287738800049,134.28497314453125,335.1585865020752
mps-uncap,1.0,47.2722053527832,145.127534866333,27335.9272480011
mig,1.0,1470.9148406982422,1089.8075103759766,627.5143623352051
mps-uncap,1.1,54.82316017150879,509.04130935668945,30900.237798690796
mig,1.1,8380.72156906128,4542.487859725952,6101.359128952026
mps-uncap,1.2,66.7572021484375,10173.400163650513,38630.029916763306
mig,1.2,13776.691198348999,11013.585090637207,15432.632207870483
mps-uncap,1.3,80.3368091583252,23840.041160583496,45529.26206588745
mig,1.3,18922.76620864868,18427.02865600586,21139.617443084717
