mode,load,0_vgg11-16,1_alexnet-4,2_efficientnet_b6-2
mps-uncap,0.6,35.227060317993164,43.824195861816406,200.74129104614258
mig,0.6,102.17881202697754,26.85999870300293,140.49887657165527
mps-uncap,0.7,37.40286827087402,40.2829647064209,365.5116558074951
mig,0.7,144.41227912902832,23.64635467529297,180.1316738128662
mps-uncap,0.8,52.87337303161621,68.0692195892334,943.4998035430908
mig,0.8,216.9182300567627,47.36447334289551,206.756591796875
mps-uncap,0.9,52.690982818603516,104.01630401611328,10947.451114654541
mig,0.9,312.32738494873047,136.2290382385254,352.9365062713623
mps-uncap,1.0,54.62312698364258,145.98512649536133,27359.68542098999
mig,1.0,1483.7441444396973,1091.5067195892334,644.5868015289307
mps-uncap,1.1,62.47854232788086,511.4598274230957,30918.488264083862
mig,1.1,8393.582105636597,4544.245958328247,6118.378400802612
mps-uncap,1.2,74.27310943603516,10174.363374710083,38655.09295463562
mig,1.2,13789.595127105713,11021.615266799927,15449.750661849976
mps-uncap,1.3,88.71912956237793,23858.253479003906,45552.70552635193
mig,1.3,18935.57620048523,18441.35880470276,21157.22608566284
