mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet18-2
mps-uncap,0.8,856.9985389216123,1917.0899374416001,903.821694430337
mps-uncap,0.9,963.9992190877038,2129.5373781037865,1058.0014725897506
mps-uncap,1.0,1076.7060677250993,2371.331742979381,1160.8809236432337
mps-uncap,0.5,542.3212345674285,1183.3087727430268,583.6425297182761
mps-uncap,0.6,644.6782244540743,1451.2406229813855,692.9428648455754
mps-uncap,0.7,726.6310220692095,1618.270651221982,818.5555789499662
mps-uncap,0.1,106.60730152073536,232.29820426692908,117.04838874705224
mps-uncap,0.2,201.9595667226106,476.2185793682962,228.15654851043257
mps-uncap,0.3,317.7589414108938,724.3313633083303,349.94602466913375
mps-uncap,0.4,426.1773065939905,938.5777853543639,459.44451354742336
