mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet18-2
mps-uncap,0.8,103.6062240600586,41.29648208618164,13.663530349731445
mps-uncap,0.9,181.07080459594727,45.83477973937988,37.4751091003418
mps-uncap,1.0,658.9906215667725,154.04343605041504,62.233924865722656
mps-uncap,0.5,34.25908088684082,23.739337921142578,17.870187759399414
mps-uncap,0.6,35.837411880493164,27.079105377197266,12.386798858642578
mps-uncap,0.7,68.80950927734375,26.163816452026367,13.831377029418945
mps-uncap,0.1,20.209074020385742,14.102697372436523,6.226062774658203
mps-uncap,0.2,30.50827980041504,28.5336971282959,12.433052062988281
mps-uncap,0.3,39.60394859313965,26.758909225463867,14.899015426635742
mps-uncap,0.4,35.63094139099121,23.587465286254883,12.815475463867188
