mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet18-2
mps-uncap,0.8,8.253860473632812,3.737864494323728,2.033996582031249
mps-uncap,0.9,8.281898498535156,3.4917116165161133,2.1587896347045894
mps-uncap,1.0,7.800416946411133,3.712892532348633,2.1562576293945312
mps-uncap,0.5,11.40342950820923,5.899863243103027,2.830898761749269
mps-uncap,0.6,9.41688537597656,4.892096519470215,2.289111614227295
mps-uncap,0.7,8.464369773864748,4.575176239013672,2.111673355102539
mps-uncap,0.1,12.796027660369873,7.860267162322998,3.1968712806701656
mps-uncap,0.2,13.673684597015383,7.9262042045593235,3.4694671630859375
mps-uncap,0.3,13.515987396240234,7.776961326599121,3.316640853881836
mps-uncap,0.4,13.168847560882567,7.1169233322143555,3.211975097656249
