mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet18-2
mps-uncap,0.8,4.935503005981445,2.774953842163086,1.0936260223388672
mps-uncap,0.9,4.924774169921875,2.746105194091797,1.1148452758789062
mps-uncap,1.0,5.591630935668945,2.8336048126220703,1.1386871337890625
mps-uncap,0.5,4.939794540405273,2.7811527252197266,1.1119842529296875
mps-uncap,0.6,4.9037933349609375,2.750396728515625,1.1150836944580078
mps-uncap,0.7,4.899740219116211,2.730131149291992,1.0867118835449219
mps-uncap,0.1,4.976034164428711,2.8753280639648438,1.1310577392578125
mps-uncap,0.2,4.879236221313477,2.8235912322998047,1.1196136474609375
mps-uncap,0.3,4.959344863891602,2.81524658203125,1.1136531829833984
mps-uncap,0.4,4.949808120727539,2.7818679809570312,1.1131763458251953
