mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet18-2
mps-uncap,0.8,12.786388397216797,5.850553512573242,2.087116241455078
mps-uncap,0.9,22.424697875976562,6.883382797241211,3.9222240447998047
mps-uncap,1.0,151.10230445861816,37.52541542053223,14.210820198059082
mps-uncap,0.5,8.566021919250488,4.690647125244141,2.4797916412353516
mps-uncap,0.6,8.056402206420898,4.29534912109375,2.018451690673828
mps-uncap,0.7,9.21773910522461,4.33349609375,1.8754005432128906
mps-uncap,0.1,12.00723648071289,7.123470306396484,2.8678178787231445
mps-uncap,0.2,11.949896812438965,7.0868730545043945,2.954244613647461
mps-uncap,0.3,11.30819320678711,6.5506696701049805,3.0837059020996094
mps-uncap,0.4,9.288787841796875,5.473136901855469,2.840757369995117
