mode,load,0_inception_v3-8,1_mobilenet_v3_large-8,2_resnet18-2
mps-uncap,0.8,0.0095367431640625,0.00858306884765625,0.00762939453125
mps-uncap,0.9,0.008821487426757812,0.008106231689453125,0.007152557373046875
mps-uncap,1.0,0.011682510375976562,0.0095367431640625,0.00762939453125
mps-uncap,0.5,0.009298324584960938,0.008106231689453125,0.00762939453125
mps-uncap,0.6,0.0095367431640625,0.008106231689453125,0.00762939453125
mps-uncap,0.7,0.009298324584960938,0.008821487426757812,0.00762939453125
mps-uncap,0.1,0.011920928955078125,0.0095367431640625,0.009059906005859375
mps-uncap,0.2,0.011682510375976562,0.01049041748046875,0.009059906005859375
mps-uncap,0.3,0.011920928955078125,0.0095367431640625,0.00858306884765625
mps-uncap,0.4,0.01049041748046875,0.010251998901367188,0.009775161743164062
