mode,load,0_inception_v3-32,1_mobilenet_v2-2,2_resnet18-16
mps-uncap,0.8,16.18623971939087,6.433916091918945,6.210260391235352
mps-uncap,0.9,16.909122467041016,6.112773418426514,6.21272325515747
mps-uncap,1.0,16.555850505828857,6.726241111755371,6.343421936035155
mps-uncap,0.5,15.811865329742433,6.518249511718749,5.727825164794921
mps-uncap,0.6,15.61880111694336,6.3039207458496085,6.048417091369629
mps-uncap,0.7,15.86667537689209,6.344699859619139,6.148371696472168
mps-uncap,0.1,13.292837142944341,6.796844005584721,5.004444122314452
mps-uncap,0.2,14.224205017089828,6.833591461181645,5.223512649536134
mps-uncap,0.3,15.202434062957764,6.738636493682861,5.66922426223755
mps-uncap,0.4,15.521309375762941,6.7662405967712385,5.757255554199219
