mode,load,0_inception_v3-32,1_mobilenet_v2-2,2_resnet18-16
mps-uncap,0.8,0.010967254638671875,0.008106231689453125,0.008344650268554688
mps-uncap,0.9,0.011444091796875,0.008821487426757812,0.00858306884765625
mps-uncap,1.0,0.01239776611328125,0.007867813110351562,0.010013580322265625
mps-uncap,0.5,0.011444091796875,0.009775161743164062,0.007867813110351562
mps-uncap,0.6,0.011920928955078125,0.008344650268554688,0.00858306884765625
mps-uncap,0.7,0.011920928955078125,0.008344650268554688,0.008106231689453125
mps-uncap,0.1,0.01430511474609375,0.010967254638671875,0.010728836059570312
mps-uncap,0.2,0.012874603271484375,0.010728836059570312,0.010967254638671875
mps-uncap,0.3,0.012874603271484375,0.009059906005859375,0.009775161743164062
mps-uncap,0.4,0.012159347534179688,0.01049041748046875,0.009059906005859375
