mode,load,0_inception_v3-32,1_mobilenet_v2-2,2_resnet18-16
mps-uncap,0.8,1493.4354517957393,366.8864095411523,2954.518274147867
mps-uncap,0.9,1667.7768271089853,417.16810275817073,3327.30601251706
mps-uncap,1.0,1880.758925771278,480.8999263622354,3754.927845440277
mps-uncap,0.5,915.9500149564001,234.8383617083801,1771.8615077534705
mps-uncap,0.6,1150.0370299167812,280.44356191710773,2274.5138891196602
mps-uncap,0.7,1317.1777332902295,327.61914059609205,2582.1245999017083
mps-uncap,0.1,180.83289541673565,48.45993945258151,376.6453970052097
mps-uncap,0.2,356.86507499403024,93.73280587037485,747.4202781299674
mps-uncap,0.3,533.7187544423911,142.34179911068773,1119.9872835811068
mps-uncap,0.4,710.4250997828183,185.06452387875896,1462.486081738486
