mode,load,0_inception_v3-32,1_mobilenet_v2-2,2_resnet18-16
mps-uncap,0.8,14.114618301391602,2.948284149169922,3.327608108520508
mps-uncap,0.9,15.7700777053833,2.9664039611816406,3.548860549926758
mps-uncap,1.0,15.863537788391113,3.2618045806884766,3.742218017578125
mps-uncap,0.5,12.298107147216797,3.885984420776367,2.7773380279541016
mps-uncap,0.6,12.743949890136719,3.774881362915039,2.84731388092041
mps-uncap,0.7,13.317227363586426,3.094911575317383,3.1337738037109375
mps-uncap,0.1,12.217998504638672,5.723714828491211,2.8804540634155273
mps-uncap,0.2,12.21013069152832,5.582332611083984,2.8510093688964844
mps-uncap,0.3,12.38548755645752,5.548596382141113,2.823352813720703
mps-uncap,0.4,12.327432632446289,5.169034004211426,2.866983413696289
