mode,load,0_densenet201-2,1_densenet201-2
mig,0.1,12.162208557128906,12.279033660888672
mig,0.2,12.456655502319336,12.016534805297852
mig,0.3,11.876106262207031,12.312650680541992
mig,0.4,12.126684188842773,11.919498443603516
mig,0.5,11.987686157226562,12.20846176147461
mig,0.6,12.23134994506836,11.847496032714844
mig,0.7,11.890649795532227,12.190580368041992
mig,0.8,12.094497680664062,11.919975280761719
mig,0.9,12.041330337524414,12.125253677368164
mig,1.0,12.063741683959961,12.178182601928711
