mode,load,0_densenet121-16,1_efficientnet_b5-4,2_squeezenet1_1-2
mps-uncap,0.8,13.733577728271484,18.26920509338379,3.435754776000976
mps-uncap,0.9,13.721179962158203,18.27561855316162,3.761196136474609
mps-uncap,1.0,13.42916488647461,18.04530620574951,3.707671165466309
mps-uncap,0.5,13.765931129455566,17.754459381103516,2.8896093368530287
mps-uncap,0.6,13.663125038146973,18.162012100219727,3.033876419067383
mps-uncap,0.7,14.07766342163086,18.06230545043945,3.348112106323242
mps-uncap,0.1,26.98993682861329,29.035615921020508,4.011225700378418
mps-uncap,0.2,21.903276443481445,21.336126327514652,3.9136171340942387
mps-uncap,0.3,15.985298156738285,18.39289665222168,3.61928939819336
mps-uncap,0.4,15.36264419555664,18.07224750518799,2.992868423461914
