mode,load,0_densenet121-16,1_efficientnet_b5-4,2_squeezenet1_1-2
mps-uncap,0.8,14.760980606079102,19.01718616485595,5.124447345733641
mps-uncap,0.9,14.850268363952637,19.064176082611084,5.203227996826172
mps-uncap,1.0,14.814281463623049,18.72626543045044,4.919607639312744
mps-uncap,0.5,15.243721008300778,19.018816947937008,4.627928733825681
mps-uncap,0.6,15.429441928863522,19.211683273315426,4.7738075256347665
mps-uncap,0.7,15.495586395263672,19.37865257263183,4.913508892059326
mps-uncap,0.1,28.64072322845459,31.14053249359131,4.351921081542969
mps-uncap,0.2,25.062913894653295,28.233027458190918,4.307498931884766
mps-uncap,0.3,21.633701324462887,23.745489120483406,4.042487144470215
mps-uncap,0.4,17.15345859527588,19.727349281311035,3.97353172302246
