mode,load,0_densenet121-16,1_efficientnet_b5-4,2_squeezenet1_1-2
mps-uncap,0.8,118.64620685577411,716.2883853912347,291.93481206893904
mps-uncap,0.9,372.36413478851387,4661.1308217048645,7097.414226531982
mps-uncap,1.0,749.8267889022828,11070.365476608276,13585.064010620117
mps-uncap,0.5,49.07554388046258,69.46797847747803,10.682890415191647
mps-uncap,0.6,61.12466335296628,132.3025321960449,15.848493576049806
mps-uncap,0.7,95.43662071228026,242.59862899780254,39.02226686477661
mps-uncap,0.1,46.91683769226073,47.86487102508545,9.429023265838625
mps-uncap,0.2,42.57192850112907,40.675172805786104,10.79866886138916
mps-uncap,0.3,35.287394523620605,48.809971809387214,10.97466707229614
mps-uncap,0.4,45.14479160308838,69.35495138168335,9.107885360717773
