mode,load,0_squeezenet1_1-32,1_squeezenet1_1-32
mig,0.1,0.030040740966796875,0.029325485229492188
mig,0.2,0.02956390380859375,0.027894973754882812
mig,0.3,0.027179718017578125,0.02765655517578125
mig,0.4,0.02765655517578125,1.8703937530517578
mig,0.5,1.9539594650268555,5.072593688964844
mig,0.6,5.006670951843262,9.589195251464844
mig,0.7,10.178804397583008,32.76228904724121
mig,0.8,32.193899154663086,2228.3685207366943
mig,0.9,1768.093228340149,5515.9138441085815
mig,1.0,4171.255350112915,7030.183553695679
