mode,load,0_densenet161-2,1_resnet18-2,2_vgg13-32
mps-uncap,0.8,151.89638137817386,33.602786064147956,129.45957183837902
mps-uncap,0.9,257.082748413086,4608.402252197266,1066.861867904663
mps-uncap,1.0,323.7970352172852,10944.749879837036,3663.330507278443
mps-uncap,0.5,22.49445915222168,9.626817703247072,30.162334442138672
mps-uncap,0.6,26.190948486328114,13.763928413391112,48.27468395233158
mps-uncap,0.7,46.76330089569092,27.18508243560791,88.38505744934083
mps-uncap,0.1,0.053668022155761726,0.047540664672851556,5.625367164611816
mps-uncap,0.2,0.05168914794921874,1.5734195709228531,9.457516670227053
mps-uncap,0.3,11.931300163269045,2.90212631225586,16.769313812255863
mps-uncap,0.4,8.921957015991218,5.029296875000003,19.934630393981934
