mode,load,0_efficientnet_b7-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,4659.151668548584,15334.866828918457,99.39353466033938
mps-uncap,0.9,10529.72913265228,20074.489891529083,373.56478929519653
mps-uncap,1.0,16588.619441986084,23793.557426929474,4319.114184379579
mps-uncap,0.5,133.3534955978394,51.522750854492166,7.121334075927736
mps-uncap,0.6,190.0097370147705,707.1702122688293,9.170486927032464
mps-uncap,0.7,757.699785232544,8812.89086341858,15.650963783264169
mps-uncap,0.1,20.88578224182129,16.640901565551758,5.689449310302734
mps-uncap,0.2,41.769382953643785,14.93072748184199,8.467905521392831
mps-uncap,0.3,58.54477643966655,16.187524795532248,6.287527084350587
mps-uncap,0.4,84.66780662536621,23.970894813537562,6.159353256225589
