mode,load,0_efficientnet_b7-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,0.01621246337890625,0.012159347534179688,0.009059906005859375
mps-uncap,0.9,0.019311904907226562,0.011682510375976562,0.0095367431640625
mps-uncap,1.0,0.012874603271484375,0.01239776611328125,0.011920928955078125
mps-uncap,0.5,0.012159347534179688,0.0095367431640625,0.008821487426757812
mps-uncap,0.6,0.01239776611328125,0.011444091796875,0.008821487426757812
mps-uncap,0.7,0.012636184692382812,0.012636184692382812,0.009059906005859375
mps-uncap,0.1,0.013113021850585938,0.011682510375976562,0.013113021850585938
mps-uncap,0.2,0.01239776611328125,0.009298324584960938,0.010728836059570312
mps-uncap,0.3,0.01239776611328125,0.009775161743164062,0.008821487426757812
mps-uncap,0.4,0.01239776611328125,0.010251998901367188,0.008821487426757812
