mode,load,0_efficientnet_b7-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,182.29068999938414,946.1316902779745,1908.3306530066056
mps-uncap,0.9,184.79919964109942,957.8579604636287,2145.7768936714533
mps-uncap,1.0,182.8102465688986,958.4427846715956,2173.1888097643377
mps-uncap,0.5,123.51444428679785,792.9412797308075,1221.006639390043
mps-uncap,0.6,148.43216198029623,946.3196002239824,1420.451406593133
mps-uncap,0.7,173.18426641688404,947.5381569811503,1665.8676632809
mps-uncap,0.1,24.80066671296901,164.3138707313417,236.78110084018604
mps-uncap,0.2,49.79240253682546,313.54649851067416,486.0006642828856
mps-uncap,0.3,73.19901933173395,475.7423907698493,723.1146113653576
mps-uncap,0.4,103.9037610459403,634.3009465098552,960.4622131758367
