mode,load,0_efficientnet_b7-4,1_mobilenet_v3_large-32,2_vgg16-16
mps-uncap,0.8,551.9328117370605,182.4057102203369,147.06897735595703
mps-uncap,0.9,814.4314289093018,368.69025230407715,252.93469429016113
mps-uncap,1.0,3718.532085418701,2439.394950866699,896.3174819946289
mps-uncap,0.5,96.14276885986328,55.26089668273926,56.470394134521484
mps-uncap,0.6,137.53342628479004,85.68859100341797,71.58565521240234
mps-uncap,0.7,158.96201133728027,74.3412971496582,75.59680938720703
mps-uncap,0.1,53.55238914489746,18.759965896606445,24.333477020263672
mps-uncap,0.2,50.90522766113281,21.041154861450195,48.88916015625
mps-uncap,0.3,52.565813064575195,31.994104385375977,34.62409973144531
mps-uncap,0.4,72.45707511901855,51.04374885559082,38.34199905395508
