mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-16,2_vgg11-2
mps-uncap,0.8,113.27457427978516,252.9923915863037,47.00207710266113
mps-uncap,0.9,2436.751365661621,3389.6656036376953,85.12377738952637
mps-uncap,1.0,7147.489547729492,11519.41466331482,3325.0348567962646
mps-uncap,0.5,33.1883430480957,36.17286682128906,17.266511917114258
mps-uncap,0.6,40.302276611328125,53.548574447631836,20.435333251953125
mps-uncap,0.7,70.64294815063477,52.62136459350586,38.424015045166016
mps-uncap,0.1,26.776552200317383,35.23063659667969,6.638288497924805
mps-uncap,0.2,36.60416603088379,33.566951751708984,7.894277572631836
mps-uncap,0.3,33.97727012634277,44.03352737426758,12.002229690551758
mps-uncap,0.4,35.726070404052734,37.08600997924805,14.041662216186523
