mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-16,2_vgg11-2
mps-uncap,0.8,3.896951675415039,4.789829254150391,1.425027847290039
mps-uncap,0.9,4.016637802124023,4.869222640991211,1.4777183532714844
mps-uncap,1.0,4.02069091796875,4.826545715332031,1.5316009521484375
mps-uncap,0.5,3.9582252502441406,4.789829254150391,1.4045238494873047
mps-uncap,0.6,3.9904117584228516,4.801750183105469,1.4047622680664062
mps-uncap,0.7,4.0435791015625,4.773855209350586,1.4030933380126953
mps-uncap,0.1,4.012584686279297,4.877328872680664,1.5654563903808594
mps-uncap,0.2,4.01759147644043,4.851818084716797,1.558542251586914
mps-uncap,0.3,4.014015197753906,4.780292510986328,1.4214515686035156
mps-uncap,0.4,3.989696502685547,4.857063293457031,1.4042854309082031
