mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-16,2_vgg11-2
mps-uncap,0.8,33.44981670379639,82.34858512878418,13.691067695617676
mps-uncap,0.9,2021.2124347686768,3120.9919452667236,43.46699714660645
mps-uncap,1.0,6327.723860740662,10266.684317588808,3047.9732036590576
mps-uncap,0.5,7.965087890625,10.515236854553224,3.0132770538330083
mps-uncap,0.6,10.304141044616703,13.857269287109386,4.330492019653322
mps-uncap,0.7,26.063418388366703,16.108036041259766,7.028770446777345
mps-uncap,0.1,5.3989887237548855,6.248164176940921,0.04673004150390625
mps-uncap,0.2,7.479190826416016,8.478140830993649,1.1361122131347656
mps-uncap,0.3,6.45031929016113,7.557868957519533,1.7171382904052734
mps-uncap,0.4,6.506180763244626,7.703685760498047,2.043485641479492
