mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-16,2_vgg11-2
mps-uncap,0.8,818.7954997354752,2440.363782344462,681.7231284261179
mps-uncap,0.9,911.3046281539895,2572.717071140782,767.1160089175715
mps-uncap,1.0,911.6689607557037,2546.0196653643243,801.9732186754447
mps-uncap,0.5,517.0443719473408,1570.9233138840734,420.34837576481704
mps-uncap,0.6,612.7144829547289,1814.5519465479406,506.15168841135244
mps-uncap,0.7,747.444202145164,2076.4412162540643,604.1988518076472
mps-uncap,0.1,100.32868656001047,302.72642908537665,85.35352772898536
mps-uncap,0.2,206.3847312747264,635.514253620488,173.21316630890172
mps-uncap,0.3,311.5517171389255,933.3661683680176,256.4399139234654
mps-uncap,0.4,405.4114627127715,1229.4783733634838,336.0639100188752
