mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-16,2_vgg11-2
mps-uncap,0.8,6.338357925415039,9.299755096435547,5.06138801574707
mps-uncap,0.9,6.670951843261719,9.42850112915039,4.82940673828125
mps-uncap,1.0,7.981538772583008,9.964704513549805,4.286050796508789
mps-uncap,0.5,7.830381393432617,10.013103485107422,4.817008972167969
mps-uncap,0.6,6.801366806030273,8.941650390625,4.938364028930664
mps-uncap,0.7,6.947994232177734,8.188962936401367,4.706144332885742
mps-uncap,0.1,12.373685836791992,14.111042022705078,5.36799430847168
mps-uncap,0.2,11.353254318237305,13.744592666625977,5.216360092163086
mps-uncap,0.3,10.26463508605957,11.545181274414062,5.508661270141602
mps-uncap,0.4,9.114980697631836,11.220693588256836,6.616830825805664
