mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-16,2_vgg11-2
mps-uncap,0.8,37.64064311981203,88.22846412658691,16.09935760498046
mps-uncap,0.9,2025.6706714630127,3127.4402141571045,45.905637741088874
mps-uncap,1.0,6332.036733627319,10273.171710968018,3050.7257938385
mps-uncap,0.5,12.157201766967773,16.31612777709961,5.308675765991212
mps-uncap,0.6,14.562177658081056,19.38939094543458,6.651306152343751
mps-uncap,0.7,30.411052703857425,21.51346206665039,9.4022274017334
mps-uncap,0.1,13.892602920532228,16.618967056274418,2.785921096801758
mps-uncap,0.2,15.05899429321289,16.92030429840088,3.3123970031738277
mps-uncap,0.3,12.43019104003906,14.743924140930178,3.9146900177001958
mps-uncap,0.4,11.043882369995115,13.487958908081053,4.336714744567871
