mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-16,2_vgg11-2
mps-uncap,0.8,4.589319229125977,7.051706314086914,3.1096935272216797
mps-uncap,0.9,4.699468612670898,6.74748420715332,3.086948394775391
mps-uncap,1.0,4.688739776611328,6.712102890014649,3.067445755004883
mps-uncap,0.5,4.8923492431640625,7.258582115173341,3.0331134796142583
mps-uncap,0.6,4.653692245483398,7.249212265014648,3.010272979736328
mps-uncap,0.7,4.95915412902832,6.599903106689453,3.0592441558837895
mps-uncap,0.1,9.411334991455078,11.62402629852295,2.3698806762695312
mps-uncap,0.2,9.194374084472656,11.098146438598633,2.329683303833008
mps-uncap,0.3,7.553720474243164,8.993220329284668,2.767515182495117
mps-uncap,0.4,6.001520156860351,7.3096275329589835,2.852797508239746
