mode,load,0_resnet101-4,1_squeezenet1_0-2,2_vgg16-32
mps-uncap,0.8,24.492859840393066,2.9921531677246094,19.03843879699707
mps-uncap,0.9,37.44804859161377,6.39188289642334,19.654035568237305
mps-uncap,1.0,39.969682693481445,9.276390075683594,19.991159439086914
mps-uncap,0.5,11.880874633789062,2.6357173919677734,17.94731616973877
mps-uncap,0.6,12.36724853515625,2.5980472564697266,18.3713436126709
mps-uncap,0.7,21.686077117919922,2.8460025787353516,18.750667572021484
mps-uncap,0.1,12.781143188476562,2.7184486389160156,17.418861389160156
mps-uncap,0.2,12.960195541381836,2.7767419815063477,17.453908920288086
mps-uncap,0.3,13.048648834228516,2.634763717651367,17.605304718017578
mps-uncap,0.4,12.561917304992676,2.6297569274902344,17.797470092773438
