mode,load,0_mobilenet_v3_small-32,1_resnet152-4,2_squeezenet1_0-8
mps-uncap,0.8,4.104375839233398,13.268232345581055,1.9099712371826172
mps-uncap,0.9,4.130840301513672,13.184309005737305,1.9352436065673828
mps-uncap,1.0,4.232883453369141,13.641595840454102,2.254486083984375
mps-uncap,0.5,4.101276397705078,13.017892837524414,1.8939971923828125
mps-uncap,0.6,4.104852676391602,13.254404067993164,1.8932819366455078
mps-uncap,0.7,4.066944122314453,13.100624084472656,1.9068717956542969
mps-uncap,0.1,4.834413528442383,13.025760650634766,2.170562744140625
mps-uncap,0.2,4.131793975830078,12.979507446289062,2.039670944213867
mps-uncap,0.3,4.079341888427734,13.085365295410156,1.9176006317138672
mps-uncap,0.4,4.112720489501953,13.046979904174805,1.895904541015625
