mode,load,0_mobilenet_v3_small-32,1_resnet152-4,2_squeezenet1_0-8
mps-uncap,0.8,24.051547050476074,62.49594688415527,6.325960159301758
mps-uncap,0.9,47.757863998413086,628.2778978347778,1100.7013320922852
mps-uncap,1.0,5794.3278551101685,5073.977828025818,1159.393310546875
mps-uncap,0.5,6.4105987548828125,15.4036283493042,3.2951831817626953
mps-uncap,0.6,6.770849227905273,18.80800724029541,3.6867856979370117
mps-uncap,0.7,8.26108455657959,26.51381492614746,4.921674728393555
mps-uncap,0.1,9.358882904052734,23.298263549804688,4.013299942016602
mps-uncap,0.2,8.974552154541016,16.975879669189453,3.8971900939941406
mps-uncap,0.3,7.776021957397461,16.057252883911133,3.7970542907714844
mps-uncap,0.4,6.7157745361328125,15.881896018981934,3.5320520401000977
