mode,load,0_mobilenet_v3_small-32,1_resnet152-4,2_squeezenet1_0-8
mps-uncap,0.8,5078.947350392982,227.93429175594082,2015.1902491040794
mps-uncap,0.9,5611.805620160449,242.70100866385158,2226.585969990487
mps-uncap,1.0,4945.786243461134,233.22730514523877,2470.4725473279937
mps-uncap,0.5,3117.401382821329,134.74889562961292,1252.271583405163
mps-uncap,0.6,3745.331783994017,162.50820550869233,1524.6172383641904
mps-uncap,0.7,4361.7643936678305,190.94886449774387,1810.2372487579773
mps-uncap,0.1,639.7104113216546,27.41227120271594,248.35297778153586
mps-uncap,0.2,1265.5048035452326,51.31481460581533,509.72124405949916
mps-uncap,0.3,1864.422135888081,80.31098373154558,752.2649496729078
mps-uncap,0.4,2473.6849476270786,104.17767669091619,1010.1676127159583
