mode,load,0_mobilenet_v3_small-32,1_resnet152-4,2_squeezenet1_0-8
mps-uncap,0.8,59.695315361022956,288.14134597778326,14.260435104370123
mps-uncap,0.9,110.94231605529787,1936.1844778060918,1894.0010547637942
mps-uncap,1.0,11163.347434997559,9179.66501712799,2092.991590499878
mps-uncap,0.5,7.6577186584472665,18.815898895263672,3.903627395629883
mps-uncap,0.6,9.290933609008789,29.024720191955566,5.3691864013671875
mps-uncap,0.7,13.706851005554201,53.27315330505372,9.18300151824951
mps-uncap,0.1,4.368782043457031,7.2794914245605655,1.1036396026611317
mps-uncap,0.2,6.955242156982422,11.583471298217775,2.588319778442383
mps-uncap,0.3,7.028913497924802,13.43073844909668,3.1055927276611333
mps-uncap,0.4,6.525850296020508,14.964270591735842,3.2882213592529315
