mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,3.995180130004883,4.839420318603516,16.4949893951416
mps-uncap,0.9,4.023075103759766,4.881620407104492,16.819000244140625
mps-uncap,1.0,4.045248031616211,4.806041717529297,17.816781997680664
mps-uncap,0.5,3.9839744567871094,4.903554916381836,14.734745025634766
mps-uncap,0.6,4.033803939819336,4.82487678527832,14.914512634277344
mps-uncap,0.7,4.047870635986328,4.865407943725586,14.971256256103516
mps-uncap,0.1,4.070758819580078,4.975557327270508,14.682769775390625
mps-uncap,0.2,3.9703845977783203,4.839420318603516,14.724016189575195
mps-uncap,0.3,3.9598941802978516,4.868507385253906,14.709234237670898
mps-uncap,0.4,3.965616226196289,4.8370361328125,14.65606689453125
