mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,1368.575668334961,79.12802696228026,145.111083984375
mps-uncap,0.9,7601.113605499268,244.7528839111328,869.4827556610107
mps-uncap,1.0,13864.558696746826,2650.871324539185,2905.952167510987
mps-uncap,0.5,9.896373748779293,9.718132019042972,24.56021308898926
mps-uncap,0.6,18.021297454834,12.982749938964847,37.05201148986817
mps-uncap,0.7,69.62494850158693,25.687384605407722,68.95380020141603
mps-uncap,0.1,5.6975603103637695,6.007242202758791,0.0866413116455101
mps-uncap,0.2,7.137513160705566,7.071495056152344,10.317611694335945
mps-uncap,0.3,6.027698516845703,6.941747665405274,15.500688552856447
mps-uncap,0.4,6.29734992980957,7.388877868652341,19.63818073272705
