mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,13.117074966430664,15.359163284301758,29.74843978881836
mps-uncap,0.9,10.509014129638672,17.024517059326172,37.978172302246094
mps-uncap,1.0,16.622304916381836,16.581058502197266,34.35158729553223
mps-uncap,0.5,17.279386520385742,16.479015350341797,34.415245056152344
mps-uncap,0.6,10.793447494506836,18.780231475830078,36.43226623535156
mps-uncap,0.7,8.39853286743164,11.086225509643555,27.65512466430664
mps-uncap,0.1,11.52944564819336,13.789176940917969,32.06992149353027
mps-uncap,0.2,15.188455581665039,12.642145156860352,29.832124710083008
mps-uncap,0.3,10.49661636352539,19.376516342163086,32.86409378051758
mps-uncap,0.4,17.04883575439453,11.94310188293457,31.151533126831055
