mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,902.8624251301143,1275.756339482593,616.3660287139635
mps-uncap,0.9,898.5364182973203,1388.758677962289,713.2595739512026
mps-uncap,1.0,857.5453801947282,1468.5916153735243,725.8507451457247
mps-uncap,0.5,577.0055454680447,783.1074208216479,397.2101376527185
mps-uncap,0.6,702.1890933661361,915.6082180804826,462.6190370703527
mps-uncap,0.7,831.5785957775081,1104.1604657338412,544.2914299816626
mps-uncap,0.1,115.42447371491129,149.47803806698303,82.17916159607368
mps-uncap,0.2,236.18779587358947,319.134639432274,153.80860862909233
mps-uncap,0.3,350.0350005073026,475.2463033833174,237.55051523363716
mps-uncap,0.4,457.9926268224808,613.6046834205075,324.76570212899003
