mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,1373.0430126190186,85.00218391418457,166.8853759765625
mps-uncap,0.9,7605.446672439575,250.2894401550293,891.6008472442627
mps-uncap,1.0,13868.833303451538,2656.033086776734,2927.4231672286996
mps-uncap,0.5,14.191961288452148,15.184593200683597,43.52080821990973
mps-uncap,0.6,22.379302978515632,18.372726440429688,57.800006866455085
mps-uncap,0.7,74.00097846984868,31.103801727294925,88.96918296813969
mps-uncap,0.1,13.979196548461916,16.10255241394043,30.892372131347656
mps-uncap,0.2,13.825130462646484,15.221238136291504,29.096031188964844
mps-uncap,0.3,10.999822616577148,13.18814754486084,33.628225326538086
mps-uncap,0.4,10.658025741577148,13.020658493041992,38.24317455291748
