mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,1507.6971054077148,195.74737548828125,359.88378524780273
mps-uncap,0.9,8480.076789855957,353.09290885925293,1134.5865726470947
mps-uncap,1.0,15476.889371871948,2974.7912883758545,3527.714967727661
mps-uncap,0.5,40.029287338256836,39.50786590576172,101.69482231140137
mps-uncap,0.6,73.9593505859375,48.74372482299805,110.75925827026367
mps-uncap,0.7,159.2090129852295,78.74560356140137,184.90910530090332
mps-uncap,0.1,30.910730361938477,44.991493225097656,53.02858352661133
mps-uncap,0.2,33.44392776489258,33.67114067077637,73.98581504821777
mps-uncap,0.3,30.916929244995117,35.00723838806152,63.34948539733887
mps-uncap,0.4,27.869462966918945,30.601978302001953,100.71539878845215
