mode,load,0_mobilenet_v2-4,1_mobilenet_v3_large-8,2_resnet152-16
mps-uncap,0.8,4.176616668701172,4.887580871582031,16.620397567749023
mps-uncap,0.9,4.111528396606445,4.981756210327148,18.275022506713867
mps-uncap,1.0,4.085540771484375,4.955768585205078,17.839670181274414
mps-uncap,0.5,4.02379035949707,4.938364028930664,14.803171157836914
mps-uncap,0.6,4.064798355102539,4.856109619140625,14.930963516235352
mps-uncap,0.7,4.092931747436523,4.903078079223633,15.211820602416992
mps-uncap,0.1,4.100322723388672,4.989862442016602,14.704465866088867
mps-uncap,0.2,3.9892196655273438,4.873037338256836,14.993429183959961
mps-uncap,0.3,3.986358642578125,4.905939102172852,14.737367630004883
mps-uncap,0.4,3.9825439453125,4.892826080322266,14.678955078125
