mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4
mig,0.1,9.447975158691433,10.983662605285607
mig,0.2,14.371621608734154,14.40027952194214
mig,0.3,15.381693840026838,14.411377906799288
mig,0.4,13.108546733856198,12.82405853271484
mig,0.5,12.75967359542847,12.876236438751237
mig,0.6,12.473812103271491,12.95842170715332
mig,0.7,17.84682273864746,18.068468570709243
mig,0.8,33.49822044372559,22.621872425079342
mig,0.9,48.38848829269409,47.36201286315928
mig,1.0,184.40144062042236,300.45610904693604
