mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4
mig,0.1,6.576776504516602,6.663680076599121
mig,0.2,6.28209114074707,6.337165832519531
mig,0.3,4.604578018188477,4.586458206176758
mig,0.4,2.9622316360473633,3.6268234252929688
mig,0.5,2.828359603881836,2.8467178344726562
mig,0.6,2.8228759765625,2.813100814819336
mig,0.7,2.798795700073242,2.776622772216797
mig,0.8,2.7625560760498047,2.8171539306640625
mig,0.9,2.7747154235839844,2.7740001678466797
mig,1.0,2.789735794067383,2.8374195098876953
