mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4
mig,0.1,7.058286666870117,7.132983207702637
mig,0.2,7.248878479003906,7.254505157470703
mig,0.3,6.357622146606446,5.986404418945313
mig,0.4,4.721403121948242,4.757404327392578
mig,0.5,4.454135894775391,4.187226295471191
mig,0.6,2.9790401458740234,2.9909610748291016
mig,0.7,2.9294490814208984,2.933979034423828
mig,0.8,2.8684139251708984,2.933502197265625
mig,0.9,2.886533737182617,2.86102294921875
mig,1.0,2.860546112060547,2.9456615447998047
