mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4
mig,0.1,141.22132126085606,140.53820195553268
mig,0.2,287.5998539726535,279.14386198963564
mig,0.3,416.8392893438988,434.6971693965816
mig,0.4,571.9267002546707,548.220824618951
mig,0.5,700.4669879571295,699.6796357443309
mig,0.6,847.2172780306662,852.5045151197061
mig,0.7,968.6817982004449,971.6861769914777
mig,0.8,1130.9012635256588,1112.7855122303192
mig,0.9,1264.2673581924557,1259.280680439779
mig,1.0,1416.3116973501162,1389.0815949499774
