mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4
mig,0.1,2.6848316192626953,2.7284622192382812
mig,0.2,2.7561187744140625,2.754688262939453
mig,0.3,2.760171890258789,2.7205944061279297
mig,0.4,2.6869773864746094,2.685070037841797
mig,0.5,2.7146339416503906,2.719879150390625
mig,0.6,2.7196407318115234,2.6793479919433594
mig,0.7,2.699136734008789,2.6710033416748047
mig,0.8,2.6710033416748047,2.697467803955078
mig,0.9,2.674579620361328,2.684354782104492
mig,1.0,2.695322036743164,2.733945846557617
