mode,load,0_densenet169-8,1_mobilenet_v3_large-2,2_resnet50-32
mps-uncap,0.8,28.03623676300049,8.627510070800781,14.140558242797852
mps-uncap,0.9,28.504133224487305,9.08653736114502,14.328885078430176
mps-uncap,1.0,28.857922554016113,10.476922988891602,14.460563659667969
mps-uncap,0.5,27.92978286743164,8.197522163391113,13.612985610961914
mps-uncap,0.6,29.001474380493164,8.313369750976562,13.526558876037598
mps-uncap,0.7,28.034663200378418,8.445978164672852,13.892221450805664
mps-uncap,0.1,25.504064559936523,7.647132873535156,11.982083320617676
mps-uncap,0.2,26.140761375427246,7.966041564941406,12.575149536132812
mps-uncap,0.3,26.25441551208496,8.499813079833984,12.96699047088623
mps-uncap,0.4,26.74567699432373,8.252048492431642,13.400030136108398
