mode,load,0_squeezenet1_0-32,1_squeezenet1_0-32
mig,0.1,13.630867004394531,16.0599946975708
mig,0.2,12.821674346923828,14.530062675476074
mig,0.3,11.037826538085938,12.71820068359375
mig,0.4,10.868310928344727,12.57467269897461
mig,0.5,10.889053344726562,12.53199577331543
mig,0.6,10.849237442016602,12.562990188598633
mig,0.7,10.866641998291016,12.615680694580078
mig,0.8,10.913610458374023,12.680292129516602
mig,0.9,10.965824127197266,12.748003005981445
mig,1.0,10.91456413269043,12.691855430603027
