mode,load,0_squeezenet1_0-32,1_squeezenet1_0-32
mig,0.1,10.73002815246582,12.536048889160156
mig,0.2,10.478019714355469,12.203693389892578
mig,0.3,10.44154167175293,12.162446975708008
mig,0.4,10.471582412719727,12.223243713378906
mig,0.5,10.460376739501953,12.151479721069336
mig,0.6,10.591268539428711,12.14909553527832
mig,0.7,10.524511337280273,12.221336364746094
mig,0.8,10.58053970336914,12.278556823730469
mig,0.9,10.763883590698242,12.526273727416992
mig,1.0,10.773897171020508,12.56704330444336
