mode,load,0_inception_v3-32,1_squeezenet1_0-4,2_vgg11-32
mps-uncap,0.6,19.165754318237305,3.6344528198242188,13.847589492797852
mig,0.6,27.060270309448242,3.8313865661621094,52.25968360900879
mps-uncap,0.7,23.10037612915039,5.291104316711426,14.106035232543945
mig,0.7,36.12995147705078,4.579901695251465,67.56508350372314
mps-uncap,0.8,31.833648681640625,13.089656829833984,14.626622200012207
mig,0.8,46.93889617919922,5.870223045349121,91.6907787322998
mps-uncap,0.9,47.56009578704834,148.64468574523926,14.383792877197266
mig,0.9,90.11483192443848,10.31184196472168,167.93596744537354
mps-uncap,1.0,167.91033744812012,5613.268852233887,14.79804515838623
mig,1.0,524.7673988342285,161.66043281555176,428.0576705932617
mps-uncap,1.1,4530.40337562561,12542.35577583313,15.758872032165527
mig,1.1,4840.000152587891,3862.6259565353394,6055.880546569824
mps-uncap,1.2,8442.567825317383,17396.138072013855,15.994548797607422
mig,1.2,7140.765070915222,6927.665233612061,7714.529037475586
mps-uncap,1.3,12259.625673294067,20340.22879600525,16.48235321044922
mig,1.3,10389.018654823303,9560.746908187866,10003.885865211487
